Ranking,Pontos,Nome,Clube,Rating,Categoria
20,1517,NATHÁLIA MELLO,JUNDIAÍ CLUBE-SP,C,F
21,1515,LAIS TOMA,ATEMEL/ACEL LONDRINA - PR,C,F
22,1508,LAIS YUTA,ACEAS NIKKEI SUZANO - SP,C,F
23,1504,JULLY NAGAO,ASSOCIAÇÃO MARINGAENSE DE TÊNIS DE MESA-AMTM - PR,C,F
24,1501,JULIA DE SOUSA,ASSOC. NOVA ERA DE T.M.-SP,C,F
25,1480,TATHIANE PIMENTEL,CR SALDANHA DA GAMA/JOOLA/ADC ESTRELA/STA CECÍLIA - SP,C,F
26,1477,MAIRA AGATA,INTERCOLONIAL,C,F
27,1473,TAINARA TANAKA,NIPO IVOTI - RS,C,F
28,1470,MELISSA ARAKAKI,ITAIM KEIKO / JJYAMADA - SP,C,F
29,1469,AILY MURASHIGE,INTERCOLONIAL,C,F
30,1456,LUCIANA KOCK,JUNDIAÍ CLUBE-SP,C,F
31,1447,JANAINA COSTA,ASSOCIAÇÃO JOINVILENSE DE TÊNIS DE MESA - SC,C,F
32,1446,LAURA RAMALHO,CLUBE ITUANO DE ESPORTES-SP,C,F
33,1441,DANIELLE CRUZ,ASSOCIAÇÃO JOINVILENSE DE TÊNIS DE MESA - SC,C,F
34,1435,KATIA ABE,CLUBE DE TÊNIS DE MESA JACAREÍ - SP,C,F
35,1433,DANIELLI COELHO,ASSOC.DESP. MATOSTT DE TM/COL. DELTA/CLUBE COMERCIAL DE LORENA-SP,C,F
36,1431,THAÍS TANAKA,NIPO IVOTI - RS,C,F
37,1430,ISABELA LIMA,SR MAMPITUBA/FME CRICIÚMA-SC,C,F
38,1422,MAYARA SANTOS,ASMUC - CARAGUATATUBA - SP,C,F
39,1421,PAMELA RIBEIRO,JARAGUÁ TÊNIS CLUBE - AL,C,F
40,1417,CAROLINA NAGANO,ASSOCIAÇÃO MARINGAENSE DE TÊNIS DE MESA-AMTM - PR,C,F
41,1407,TATIANE KAMIMURA,ALAMEDA GLORIA,C,F
42,1406,LARISSA SAITO,ITAIM KEIKO / JJYAMADA - SP,C,F
43,1401,CÁSSIA EDAMATSU,SÃO BERNARDO / ASA / PALMEIRAS - SP,C,F
44,1397,RAQUEL PEREIRA,ASSOCIAÇÃO SÃO JOSÉ DOS PINHAIS - PR,C,F
45,1392,KATISA LIMA,ACTM ITAIM KEIKO/MACAPÁ - AP,C,F
46,1390,EMANUELE DREVECK,CLUBE DUQUE DE CAXIAS - CURITIBA - PR,C,F
46,1390,SABRINA MIYABARA,ITAIM KEIKO / JJYAMADA - SP,C,F
48,1388,IZABELA JOSE,KOSMOS CLUBE - SP,C,F
49,1369,VERA SILVA,ASSOC.DESP. MATOSTT DE TM/COL. DELTA/CLUBE COMERCIAL DE LORENA-SP,C,F
50,1368,RENATA BENEVIDES,ASSOCIAÇÃO DOS DEFICIENTES FÍSICOS DE GOIÁS-ADFEGO-GO,C,F
51,1363,SUZANA KAMIMURA,ASSOCIAÇÃO ESPORTIVA LASSALISTA - AM,C,F
52,1361,MARIA VITORIA LAPLAZA,JUNDIAÍ CLUBE-SP,C,F
53,1351,MARIANA SILVA,ASSOC.DESP. MATOSTT DE TM/COL. DELTA/CLUBE COMERCIAL DE LORENA-SP,C,F
53,1351,PRISCILA ROGELIA,OCIAN PRAIA CLUBE - SP,C,F
55,1348,ANA CORDEIRO,APAE DE FRANCISCO BELTRÃO-PR,C,F
56,1344,MIRIAM SUZUKI,YARA TOLEDO - PR,C,F
57,1340,LEINE AGATA,SANTO ANDRÉ / ADSA - SP,C,F
58,1338,ALICE LAVAREDA,ASSOCIAÇAO BARBOSA DE LUTAS ESPORTIVAS,C,F
59,1336,HANNA UEDA,ATEMEL/ACEL LONDRINA - PR,C,F
60,1329,LAIRA SILVA,ASSOCIAÇÃO DE TENIS DE MESA DE POUSO REDONDO-SC,C,F
61,1327,VICTÓRIA STRASSBURGER,SOGIPA PORTO ALEGRE - RS,C,F
62,1316,LUIZA HAYASHIBARA,KOSMOS CLUBE - SP,C,F
63,1314,ALLANA MASCHIO,NETO TT BAL. CAMBORIU SC,C,F
64,1308,DANIELA BASSI,ASSOC. NOVA ERA DE T.M.-SP,C,F
1,1294,RENATA TSUKADA,ACADEMIA FITPONG DE TÊNIS DE MESA-PR,D,F
2,1293,MAI SEKIMOTO,SANTO ANDRÉ / ADSA - SP,D,F
3,1291,MIRIAN NISHIMORI,ASSOCIAÇÃO MARINGAENSE DE TÊNIS DE MESA-AMTM - PR,D,F
4,1283,KARINA SHIRAY,ASSOC. REGISTRENSE DE TM-ARTEME-SP,D,F
5,1281,KAREN YAGUISHITA,ESTRELA DE OURO - SP,D,F
6,1279,GIORGIA PSCHEIDT,ASSOC. SÃO BENTO DO SUL DE T.M.-SC,D,F
7,1270,ANDREA IKEIZUMI,ASSOC. DOS MESATENISTAS DE FLORIANOPOLIS-SC,D,F
8,1267,THAIS CORREA,CLUBE PALESTRA ITÁLIA - RIBEIRÃO PRETO - SP,D,F
9,1264,JOANA PALMEIRA,ASSOCIAÇÃO SÃO CRISTOVÃO DE ESPORTES - SP,D,F
10,1260,ERIKA DOARTE,ASSOCIAÇÃO CAMPONOVENSE - SC,D,F
11,1237,CAROLINE SOUSA,CLUBE DOS DIÁRIOS - CE,D,F
12,1233,SUELLEN BATISTA,ASSOCIAÇÃO ITAJAIENSE - SC,D,F
13,1225,SABRINA COSTA,PING TABLE TENNIS AERO CLUBE-RN,D,F
14,1221,MARIANA FRANCO,ADM - MARÍLIA - SP,D,F
15,1220,LAIS AGATA,CLUBE DE TÊNIS DE MESA JACAREÍ - SP,D,F
16,1204,SOFIA KANO,CLUBE DE TÊNIS DE MESA JACAREÍ - SP,D,F
17,1203,ANA CABRAL,ASSOCIAÇÃO JOINVILENSE DE TÊNIS DE MESA - SC,D,F
18,1201,CAROLINE KAJIHARA,ITAIM KEIKO / JJYAMADA - SP,D,F
19,1194,DAYANE SANTOS,ADM - MARÍLIA - SP,D,F
20,1186,TICIANA KATSUNO,BOCHÓFILO SANTO ANDRÉ,D,F
21,1180,ALINE FERREIRA,AACD SÃO PAULO - SP,D,F
22,1178,NICOLLE SATO,JUNDIAÍ CLUBE-SP,D,F
23,1173,TASSIA TANAKA,NIPO CAMPO MOURÃO - PR,D,F
24,1166,PAULA KATAHIRA,JUNDIAÍ CLUBE-SP,D,F
25,1159,ALANY BRANDAO,PRÓ TÊNIS DE MESA DE JOAÇABA - SC,D,F
26,1137,INGRID COSTA,UNIVERSIDADE NILTON LINS - AM,D,F
26,1137,PAOLA SCHROEDER,YARA TOLEDO - PR,D,F
28,1124,SABRINA MIZVA,ASSOCIAÇÃO CHAPECOENSE - SC,D,F
29,1115,LUCIANA MOURA,ADFP/CLUBE DUQUE DE CAXIAS-CURITIBA-PR,D,F
30,1112,KARINA KANBARA VALLILO,SANTO ANDRÉ / ADSA - SP,D,F
31,1111,LUANA ANDRADE,ASSOCIAÇÃO ANAPOLINA DE TÊNIS DE MESA - GO,D,F
31,1111,SIMONE YAMADA,ASSOCIAÇÃO MARINGAENSE DE TÊNIS DE MESA-AMTM - PR,D,F
33,1110,TAIS TOKIKAWA,NIPO CAMPO GRANDE - MS,D,F
34,1108,JULIANA SHINTATE,KOSMOS CLUBE - SP,D,F
35,1102,BRUNA SILVA,MESATENISTAS DO CLUBE DAS ÁGUIAS - PE,D,F
36,1095,GABRIELLE EGOSHI,NIKKEI CURITIBA - PR,D,F
37,1091,LUANA FERREIRA,ASSOC. DOS MESATENISTAS DE CASCÁVEL-PR,D,F
38,1085,REBECA DANIELLO,UCEG - UNIÃO CULTURAL E ESPORTIVA GUARULHENSE-SP,D,F
39,1079,CARLA LIMP AZEVEDO,AABB BRASÍLIA/RIZZONE - DF,D,F
39,1079,JESSICA JOSE,SR MAMPITUBA/FME CRICIÚMA-SC,D,F
41,1075,KESYA VIDAL,SOCIEDADE THALIA CURITIBA - PR,D,F
42,1074,GABRIELLA FUJII,ITAIM KEIKO / JJYAMADA - SP,D,F
43,1063,ELISA MATSUMURA,ATEME/COOPER/IMSJT/YASAKA - SP,D,F
43,1063,HIDECO TAKEMURA,MADUREIRA ESPORTE CLUBE - RJ,D,F
45,1059,BIANCA ONO,NIPO CAMPO GRANDE - MS,D,F
46,1054,LARISSA VICENTE,CLUBE DE TÊNIS DE MESA JACAREÍ - SP,D,F
47,1053,MILENA MORIMOTO,CT MORIMOTO - MT,D,F
47,1053,MARLENE TAKAHASHI,ACEAS NIKKEI SUZANO - SP,D,F
49,1052,KATHERINE MACEDO,ASSOC. DOS MESATENISTAS DE FLORIANOPOLIS-SC,D,F
50,1051,IARA BORBA,ASSOCIAÇÃO ATLÉTICA UNICAP - PE,D,F
51,1048,LUCIANA TSUJI,CLUBE CONCÓRDIA - SC,D,F
52,1044,BEATRIZ FIORE,ITAIM KEIKO / JJYAMADA - SP,D,F
52,1044,TATIANE APARECIDA DE FREITAS,ILECE - LONDRINA-PR,D,F
54,1043,ROSIANE VIANA,MADUREIRA ESPORTE CLUBE - RJ,D,F
55,1041,KARIN TSUMURA,SOC .ESP. RECREATIVA E CULT. SANTA MARIA - SP,D,F
56,1039,JANE RODRIGUES GOGEL,CLUBE ESPERIA-SP,D,F
57,1035,BEATRIZ LOPES,SANTA BÁRBARA D' OESTE-SP,D,F
58,1028,ANA SILVA,ADC- FME CRICIÚMA-SC,D,F
59,1026,CÍNTIA NAGANO,ACADEMIA DE TÊNIS DE MESA LIFE PONG - SP,D,F
60,1016,ANA HACK,ASSOCIAÇÃO JOINVILENSE DE TÊNIS DE MESA - SC,D,F
61,1009,JULIANA SHINGAKI,SÃO BERNARDO / ASA / PALMEIRAS - SP,D,F
62,1008,MILENA KAWAI,JUNDIAÍ CLUBE-SP,D,F
63,1006,THAÍSA VILAR,CLUBE ITUANO DE ESPORTES-SP,D,F
63,1006,LUANA SILVA,ASSOCIAÇÃO CARIOCA DE TÊNIS DE MESA - RJ,D,F
1,996,FABÍOLA COSTA,AABB FORTALEZA - CE,E,F
1,996,GIULIANA VALENTINI,JUNDIAÍ CLUBE-SP,E,F
3,992,SARAH YAMAMOTO,JUNDIAÍ CLUBE-SP,E,F
4,991,LETICIA NOMURA,KOSMOS CLUBE - SP,E,F
4,991,RAFAELA SANTOS,APAE DE FRANCISCO BELTRÃO-PR,E,F
